eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
113,0.1,0.31,0.5,48,26,71,45,46,41,53,63,79,87,82,83,84,72,70,-2,103,0.1,1,15,8
114,0.1,0.31,0.5,65,79,32,68,60,69,74,64,78,84,87,76,86,88,72,84,29,0.1,1,15,8
115,0.1,0.31,0.5,77,71,72,73,69,76,75,69,79,87,85,83,84,86,70,81,31,0.1,1,15,8
116,0.1,0.31,0.5,49,26,69,43,49,33,55,60,79,87,87,83,86,88,71,68,33,0.1,1,15,8
117,0.1,0.31,0.5,62,78,32,67,61,58,75,63,79,86,87,81,86,88,69,84,32,0.1,1,15,8
118,0.1,0.31,0.5,75,68,66,71,63,67,66,72,77,85,87,83,86,88,78,74,27,0.1,1,15,8
119,0.1,0.31,0.5,58,35,65,51,51,34,61,54,77,85,87,83,86,88,69,84,32,0.1,1,15,8
120,0.1,0.31,0.5,61,77,53,67,56,58,73,71,79,80,56,83,86,88,71,84,45,0.1,1,15,8
121,0.1,0.31,0.5,64,64,73,61,60,69,64,62,79,87,87,79,85,87,72,78,29,0.1,1,15,8
122,0.1,0.31,0.5,68,41,69,60,57,42,64,62,63,81,77,83,85,86,66,80,38,0.1,1,15,8
123,0.1,0.31,0.5,65,69,35,64,57,58,72,63,79,87,86,83,86,88,72,80,29,0.1,1,15,8
124,0.1,0.31,0.5,69,60,73,59,72,65,69,65,76,86,85,83,-107,88,72,78,29,0.1,0,15,8
125,0.1,0.31,0.5,55,39,61,57,66,37,63,63,79,86,83,83,75,88,67,76,34,0.1,1,15,8
126,0.1,0.31,0.5,73,73,42,65,48,60,75,62,73,87,87,83,86,88,70,82,31,0.1,1,15,8
127,0.1,0.31,0.5,70,57,67,62,70,63,72,61,79,87,86,81,86,88,61,79,40,0.1,1,15,8
128,0.1,0.31,0.5,57,40,65,58,63,43,62,68,74,87,85,82,84,86,71,78,30,0.1,1,15,8
129,0.1,0.31,0.5,72,72,43,64,79,60,74,66,76,87,87,83,-108,88,72,81,29,0.1,0,15,8
130,0.1,0.31,0.5,68,59,66,60,46,62,73,59,78,87,85,85,86,88,67,82,34,0.1,1,15,8
131,0.1,0.31,0.5,90,38,64,57,46,46,55,61,-126,87,86,82,86,85,72,82,29,0.1,0,15,8
132,0.1,0.31,0.5,53,68,43,65,73,59,76,64,79,87,86,79,86,88,70,76,31,0.1,1,15,8
133,0.1,0.31,0.5,55,60,65,60,56,62,88,65,79,87,87,83,86,88,-123,81,24,0.1,0,15,8
134,0.1,0.31,0.5,86,42,61,56,45,45,74,74,76,87,87,83,86,88,72,54,47,0.1,1,15,8
135,0.1,0.31,0.5,54,69,45,61,72,62,47,66,75,87,87,83,86,86,68,79,33,0.1,1,15,8
136,0.1,0.31,0.5,58,51,61,53,53,56,83,57,79,87,87,83,84,88,70,79,31,0.1,1,15,8
137,0.1,0.31,0.5,63,52,73,66,50,55,59,63,79,87,79,82,85,88,72,84,29,0.1,1,15,8
138,0.1,0.31,0.5,70,69,47,63,73,56,62,65,79,87,87,82,86,88,72,82,29,0.1,1,15,8
139,0.1,0.31,0.5,57,52,61,52,55,55,82,60,76,85,84,83,86,87,68,77,33,0.1,1,15,8
140,0.1,0.31,0.5,68,53,67,64,47,58,63,67,79,87,87,83,86,87,72,78,29,0.1,1,15,8
141,0.1,0.31,0.5,68,66,44,63,74,54,59,66,79,87,87,83,-110,88,68,82,33,0.1,0,15,8
142,0.1,0.31,0.5,70,53,61,55,74,55,82,55,64,87,86,82,79,88,71,82,37,0.1,1,15,8
143,0.1,0.31,0.5,62,50,66,61,40,58,62,64,79,87,87,83,86,86,72,82,29,0.1,1,15,8
144,0.1,0.31,0.5,65,67,47,61,83,56,56,66,79,87,87,83,19,88,72,81,82,0.1,1,15,8
145,0.1,0.31,0.5,71,56,61,65,68,57,81,63,79,87,85,83,78,88,70,82,31,0.1,1,15,8
146,0.1,0.31,0.5,54,51,68,58,56,56,62,62,79,87,87,83,62,85,72,82,39,0.1,1,15,8
147,0.1,0.31,0.5,73,60,66,63,69,52,65,69,57,87,60,83,78,88,80,82,44,0.1,1,15,8
148,0.1,0.31,0.5,57,71,63,67,77,55,76,60,78,69,84,75,72,88,72,82,32,0.1,1,15,8
