eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
83,0.1,0.31,0.5,17,15,17,19,23,10,12,14,85,87,85,83,63,92,90,87,38,0.1,1,15,8
84,0.1,0.31,0.5,17,15,17,19,23,10,12,14,85,85,85,83,-126,92,90,88,27,0.1,0,15,8
85,0.1,0.31,0.5,17,15,17,19,21,10,12,14,85,86,85,81,79,92,90,87,22,0.1,1,15,8
86,0.1,0.31,0.5,17,15,17,19,21,17,12,14,85,-336,85,83,-151,68,88,88,237,0.1,0,15,8
87,0.1,0.31,0.5,19,38,42,19,22,10,12,14,81,26,39,82,80,92,90,88,75,0.1,1,15,8
88,0.1,0.31,0.5,17,38,25,19,22,10,12,14,85,-138,53,85,79,92,90,86,48,0.1,0,15,8
89,0.1,0.31,0.5,17,38,17,19,23,16,12,14,-110,-121,85,83,72,79,89,88,29,0.1,0,15,8
90,0.1,0.31,0.5,17,15,17,19,22,10,14,14,83,87,85,83,77,92,88,87,24,0.1,1,15,8
91,0.1,0.31,0.5,17,15,17,19,21,10,12,14,83,87,85,-108,78,92,90,84,23,0.1,0,15,8
92,0.1,0.31,0.5,17,15,17,21,21,10,12,14,85,87,84,78,78,92,90,88,23,0.1,1,15,8
93,0.1,0.31,0.5,17,15,17,75,22,10,12,14,85,86,85,-117,80,92,90,-135,218,0.1,0,15,8
94,0.1,0.31,0.5,17,15,18,19,22,10,12,14,85,87,83,83,-239,92,90,88,140,0.1,0,15,8
95,0.1,0.31,0.5,17,15,17,19,21,10,12,15,85,87,85,83,80,92,88,86,21,0.1,1,15,8
96,0.1,0.31,0.5,18,18,18,21,22,10,12,15,83,78,80,79,80,92,90,90,23,0.1,1,15,8
97,0.1,0.31,0.5,17,15,17,19,22,10,12,14,85,87,84,78,80,90,90,83,23,0.1,1,15,8
98,0.1,0.31,0.5,17,15,19,19,21,10,13,14,83,87,85,82,80,92,88,88,21,0.1,1,15,8
99,0.1,0.31,0.5,17,15,17,19,22,10,12,14,85,85,85,82,78,92,90,-108,23,0.1,0,15,8
100,0.1,0.31,0.5,17,15,17,19,22,10,12,11,85,-200,84,-107,78,92,90,-113,101,0.1,0,15,8
101,0.1,0.31,0.5,17,19,17,23,22,10,22,4,85,86,85,72,80,92,64,-108,37,0.1,0,15,8
102,0.1,0.31,0.5,17,15,17,19,21,10,13,4,85,87,84,82,80,92,90,-106,21,0.1,0,15,8
