eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
128,0.1,0.31,0.5,22,15,15,22,79,87,87,79,22,0.1,1,15,4
129,0.1,0.31,0.5,23,15,15,22,79,87,87,76,25,0.1,1,15,4
130,0.1,0.31,0.5,23,15,15,23,75,87,85,79,26,0.1,1,15,4
131,0.1,0.31,0.5,25,15,15,61,73,87,87,-19,120,0.1,1,15,4
132,0.1,0.31,0.5,22,15,15,23,77,87,87,78,24,0.1,1,15,4
133,0.1,0.31,0.5,23,15,15,34,79,87,86,44,57,0.1,1,15,4
134,0.1,0.31,0.5,23,15,15,25,78,87,87,71,30,0.1,1,15,4
135,0.1,0.31,0.5,22,15,15,23,76,87,87,76,25,0.1,1,15,4
136,0.1,0.31,0.5,22,15,15,22,79,85,87,79,22,0.1,1,15,4
137,0.1,0.31,0.5,22,15,15,23,76,87,87,79,25,0.1,1,15,4
138,0.1,0.31,0.5,22,15,15,22,79,87,87,79,22,0.1,1,15,4
139,0.1,0.31,0.5,30,15,15,24,70,87,87,74,31,0.1,1,15,4
140,0.1,0.31,0.5,23,15,15,52,79,85,86,19,82,0.1,1,15,4
141,0.1,0.31,0.5,24,15,16,23,74,87,86,75,27,0.1,1,15,4
142,0.1,0.31,0.5,23,15,16,25,80,87,85,76,25,0.1,1,15,4
143,0.1,0.31,0.5,23,15,15,25,79,87,85,73,28,0.1,1,15,4
144,0.1,0.31,0.5,23,15,15,26,79,87,87,67,34,0.1,1,15,4
145,0.1,0.31,0.5,23,15,15,24,79,86,87,77,24,0.1,1,15,4
146,0.1,0.31,0.5,23,15,15,25,75,87,87,76,26,0.1,1,15,4
147,0.1,0.31,0.5,22,15,15,25,75,87,87,77,26,0.1,1,15,4
148,0.1,0.31,0.5,23,15,15,24,79,86,87,78,23,0.1,1,15,4
