eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
103,0.1,0.31,0.5,29,46,49,33,49,29,28,40,67,-108,-114,91,-125,95,95,88,34,0.1,0,10,8
104,0.1,0.31,0.5,39,59,44,27,48,20,17,29,79,39,56,92,-116,95,95,86,62,0.1,0,10,8
105,0.1,0.31,0.5,40,40,26,33,40,26,34,37,81,68,91,92,85,95,94,83,33,0.1,1,10,8
106,0.1,0.31,0.5,38,50,43,32,19,29,31,39,81,68,91,91,96,95,95,86,33,0.1,1,10,8
107,0.1,0.31,0.5,50,54,52,48,33,31,28,43,79,68,-109,79,96,95,95,85,33,0.1,0,10,8
108,0.1,0.31,0.5,39,42,39,41,26,35,29,36,81,59,91,92,96,90,95,86,42,0.1,1,10,8
109,0.1,0.31,0.5,43,49,23,29,29,35,32,41,75,70,91,92,94,95,95,83,31,0.1,1,10,8
110,0.1,0.31,0.5,50,57,51,41,34,30,28,44,81,-120,89,92,96,95,95,86,21,0.1,0,10,8
111,0.1,0.31,0.5,39,51,43,39,24,28,30,35,87,68,87,92,96,95,95,86,33,0.1,1,10,8
112,0.1,0.31,0.5,56,38,28,32,26,32,32,45,-118,68,91,91,96,95,95,85,33,0.1,0,10,8
113,0.1,0.31,0.5,37,52,44,38,26,27,33,36,80,67,91,92,96,95,93,85,34,0.1,1,10,8
114,0.1,0.31,0.5,39,52,39,40,26,27,38,43,80,68,91,90,96,95,93,83,33,0.1,1,10,8
115,0.1,0.31,0.5,51,45,28,34,28,34,33,40,80,67,91,92,96,95,95,82,34,0.1,1,10,8
116,0.1,0.31,0.5,41,48,39,46,28,34,35,41,81,71,90,77,96,93,-101,89,30,0.1,0,10,8
117,0.1,0.31,0.5,39,55,41,46,26,28,26,43,79,70,91,92,96,95,95,85,31,0.1,1,10,8
118,0.1,0.31,0.5,46,39,30,30,26,31,29,35,79,70,91,88,96,95,95,85,31,0.1,1,10,8
119,0.1,0.31,0.5,40,50,40,35,28,32,33,45,90,70,91,92,96,95,95,85,31,0.1,1,10,8
120,0.1,0.31,0.5,44,57,45,46,28,28,27,46,81,-120,91,92,96,95,95,86,21,0.1,0,10,8
121,0.1,0.31,0.5,44,54,27,27,25,30,28,34,78,63,90,92,96,95,95,85,38,0.1,1,10,8
122,0.1,0.31,0.5,42,36,41,38,29,32,37,44,79,66,91,92,96,95,94,83,35,0.1,1,10,8
123,0.1,0.31,0.5,39,56,41,40,27,28,29,39,78,66,91,92,96,95,95,85,35,0.1,1,10,8
124,0.1,0.31,0.5,51,52,33,33,24,29,25,39,68,67,91,92,96,95,95,86,34,0.1,1,10,8
125,0.1,0.31,0.5,39,37,41,38,28,31,34,41,79,69,91,91,96,95,95,86,32,0.1,1,10,8
126,0.1,0.31,0.5,46,52,38,39,27,28,28,42,79,70,91,92,96,95,95,86,31,0.1,1,10,8
127,0.1,0.31,0.5,44,54,32,34,23,29,37,37,79,-109,91,91,96,95,90,86,22,0.1,0,10,8
128,0.1,0.31,0.5,38,53,42,37,31,29,46,42,79,69,91,92,95,95,90,86,32,0.1,1,10,8
129,0.1,0.31,0.5,48,35,41,55,31,30,30,43,79,71,91,-125,96,95,95,86,30,0.1,0,10,8
130,0.1,0.31,0.5,47,55,32,42,25,32,29,38,75,69,90,92,96,94,95,86,32,0.1,1,10,8
131,0.1,0.31,0.5,36,55,38,20,25,29,32,39,78,69,91,92,96,95,95,84,32,0.1,1,10,8
132,0.1,0.31,0.5,52,36,41,49,30,33,29,47,72,68,91,92,96,95,95,84,33,0.1,1,10,8
133,0.1,0.31,0.5,50,55,34,40,27,31,30,37,79,68,91,92,96,95,95,86,33,0.1,1,10,8
134,0.1,0.31,0.5,37,55,40,22,25,27,32,40,78,70,91,92,96,95,95,86,31,0.1,1,10,8
135,0.1,0.31,0.5,48,37,38,51,28,30,29,48,77,68,91,88,96,95,94,86,33,0.1,1,10,8
136,0.1,0.31,0.5,47,54,35,38,27,36,31,38,78,66,91,92,96,93,95,84,35,0.1,1,10,8
137,0.1,0.31,0.5,39,55,42,24,25,33,34,38,79,69,90,92,96,95,95,84,32,0.1,1,10,8
138,0.1,0.31,0.5,47,36,37,48,28,30,27,48,79,70,91,92,96,95,95,86,31,0.1,1,10,8
139,0.1,0.31,0.5,42,54,35,32,26,30,27,34,79,70,91,92,96,95,95,86,31,0.1,1,10,8
140,0.1,0.31,0.5,42,49,42,32,27,31,35,43,79,70,91,92,96,95,95,86,31,0.1,1,10,8
141,0.1,0.31,0.5,48,41,42,46,27,35,27,48,79,68,86,92,96,93,95,86,33,0.1,1,10,8
142,0.1,0.31,0.5,42,54,34,31,26,37,25,34,76,70,91,92,96,95,95,86,31,0.1,1,10,8
143,0.1,0.31,0.5,43,57,43,35,26,28,34,42,77,-112,91,90,96,95,95,86,24,0.1,0,10,8
144,0.1,0.31,0.5,48,49,37,47,27,35,29,49,79,70,91,92,96,93,95,89,31,0.1,1,10,8
145,0.1,0.31,0.5,42,39,31,31,38,38,28,33,79,69,91,92,94,95,95,86,32,0.1,1,10,8
146,0.1,0.31,0.5,42,56,48,33,33,27,38,43,77,-132,-107,92,96,95,94,86,33,0.1,0,10,8
147,0.1,0.31,0.5,47,55,46,46,24,29,32,47,77,70,89,92,96,95,95,86,31,0.1,1,10,8
148,0.1,0.31,0.5,36,33,21,28,24,32,26,33,79,68,91,92,96,95,95,86,33,0.1,1,10,8
