eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
131,0.1,0.31,0.5,34,34,25,42,39,24,89,92,86,90,87,95,15,0.1,1,10,6
132,0.1,0.31,0.5,34,24,39,34,34,20,89,92,86,90,86,95,15,0.1,1,10,6
133,0.1,0.31,0.5,42,38,47,30,37,33,89,92,86,90,88,95,15,0.1,1,10,6
134,0.1,0.31,0.5,35,34,26,42,39,24,89,92,87,90,87,95,14,0.1,1,10,6
135,0.1,0.31,0.5,33,24,39,32,35,18,87,92,87,90,88,95,14,0.1,1,10,6
136,0.1,0.31,0.5,39,35,43,27,36,30,88,92,93,90,88,95,13,0.1,1,10,6
137,0.1,0.31,0.5,34,33,27,43,40,25,87,92,87,90,86,95,15,0.1,1,10,6
138,0.1,0.31,0.5,33,23,43,28,33,17,86,92,86,89,88,95,15,0.1,1,10,6
139,0.1,0.31,0.5,41,43,41,34,36,29,89,87,89,90,87,95,14,0.1,1,10,6
140,0.1,0.31,0.5,36,41,27,44,41,27,89,92,87,90,88,95,14,0.1,1,10,6
141,0.1,0.31,0.5,32,23,39,45,39,20,89,92,87,-107,86,95,15,0.1,0,10,6
142,0.1,0.31,0.5,42,35,42,30,34,29,89,92,87,88,86,95,15,0.1,1,10,6
143,0.1,0.31,0.5,32,38,27,33,41,26,89,90,87,90,88,95,14,0.1,1,10,6
144,0.1,0.31,0.5,30,27,37,36,33,21,89,92,87,90,95,95,14,0.1,1,10,6
145,0.1,0.31,0.5,41,38,41,32,36,34,89,92,86,90,82,95,19,0.1,1,10,6
146,0.1,0.31,0.5,34,30,29,34,41,21,88,92,87,88,88,95,14,0.1,1,10,6
147,0.1,0.31,0.5,33,24,42,42,34,21,89,92,89,89,86,95,15,0.1,1,10,6
148,0.1,0.31,0.5,37,37,38,28,34,31,89,92,85,90,86,95,16,0.1,1,10,6
