eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
77,0.1,0.31,0.5,10,10,11,11,90,92,91,90,11,0.1,1,10,4
78,0.1,0.31,0.5,11,10,11,11,90,92,90,89,12,0.1,1,10,4
79,0.1,0.31,0.5,10,10,11,11,90,90,91,90,11,0.1,1,10,4
80,0.1,0.31,0.5,11,10,11,13,91,92,91,84,17,0.1,1,10,4
81,0.1,0.31,0.5,11,10,11,11,91,92,91,90,11,0.1,1,10,4
82,0.1,0.31,0.5,13,10,11,18,84,92,90,73,28,0.1,1,10,4
83,0.1,0.31,0.5,11,10,11,11,91,92,91,90,11,0.1,1,10,4
84,0.1,0.31,0.5,15,10,11,12,83,91,91,90,18,0.1,1,10,4
85,0.1,0.31,0.5,11,10,23,12,91,91,74,86,27,0.1,1,10,4
86,0.1,0.31,0.5,10,10,10,11,89,92,89,89,12,0.1,1,10,4
87,0.1,0.31,0.5,11,10,11,12,91,92,91,90,11,0.1,1,10,4
88,0.1,0.31,0.5,11,10,11,11,91,92,91,90,11,0.1,1,10,4
89,0.1,0.31,0.5,11,10,11,13,91,92,91,82,19,0.1,1,10,4
90,0.1,0.31,0.5,11,10,11,11,91,90,93,90,11,0.1,1,10,4
91,0.1,0.31,0.5,11,10,13,12,91,92,84,90,17,0.1,1,10,4
92,0.1,0.31,0.5,11,10,11,12,91,92,89,90,12,0.1,1,10,4
93,0.1,0.31,0.5,11,10,11,26,91,90,91,51,50,0.1,1,10,4
94,0.1,0.31,0.5,11,10,10,11,91,92,90,90,11,0.1,1,10,4
95,0.1,0.31,0.5,11,10,11,12,91,87,90,90,14,0.1,1,10,4
96,0.1,0.31,0.5,12,10,11,11,89,92,90,89,12,0.1,1,10,4
97,0.1,0.31,0.5,11,10,11,12,91,92,-117,90,18,0.1,0,10,4
98,0.1,0.31,0.5,11,10,10,13,91,92,90,90,11,0.1,1,10,4
