eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
68,0.1,0.31,0.5,38,32,35,41,30,31,81,92,92,88,-101,95,20,0.1,0,10,6
69,0.1,0.31,0.5,44,32,21,30,33,24,81,92,93,86,92,95,20,0.1,1,10,6
70,0.1,0.31,0.5,32,26,30,37,24,18,80,92,92,88,92,95,21,0.1,1,10,6
71,0.1,0.31,0.5,39,33,36,41,31,42,78,91,92,88,92,90,23,0.1,1,10,6
72,0.1,0.31,0.5,43,46,21,29,33,34,79,-125,93,87,92,96,26,0.1,0,10,6
73,0.1,0.31,0.5,33,38,28,47,21,18,78,92,93,-120,92,95,23,0.1,0,10,6
74,0.1,0.31,0.5,37,18,36,35,31,31,81,92,92,88,92,95,20,0.1,1,10,6
75,0.1,0.31,0.5,44,40,25,26,36,24,79,92,93,88,92,95,22,0.1,1,10,6
76,0.1,0.31,0.5,33,32,26,44,24,18,77,92,93,88,91,95,24,0.1,1,10,6
77,0.1,0.31,0.5,36,18,33,34,34,30,81,92,93,88,90,95,20,0.1,1,10,6
78,0.1,0.31,0.5,44,37,25,31,45,23,80,92,93,84,71,95,30,0.1,1,10,6
79,0.1,0.31,0.5,33,32,27,44,27,19,81,92,93,88,91,95,20,0.1,1,10,6
80,0.1,0.31,0.5,36,20,31,34,31,29,81,92,93,85,91,95,20,0.1,1,10,6
81,0.1,0.31,0.5,45,33,23,25,35,40,-119,92,93,88,91,84,20,0.1,0,10,6
82,0.1,0.31,0.5,41,28,29,42,25,29,74,92,93,88,90,95,27,0.1,1,10,6
83,0.1,0.31,0.5,29,38,31,36,32,29,81,-107,93,88,92,95,20,0.1,0,10,6
84,0.1,0.31,0.5,32,26,22,37,30,30,82,92,93,-102,92,91,19,0.1,0,10,6
85,0.1,0.31,0.5,39,27,30,28,24,24,79,92,93,88,92,95,22,0.1,1,10,6
86,0.1,0.31,0.5,41,35,32,36,33,29,77,92,93,88,92,94,24,0.1,1,10,6
87,0.1,0.31,0.5,34,27,28,36,31,24,80,92,92,92,92,95,21,0.1,1,10,6
88,0.1,0.31,0.5,38,38,39,29,33,24,81,87,89,88,92,95,20,0.1,1,10,6
89,0.1,0.31,0.5,37,33,32,41,28,35,80,92,93,88,92,91,21,0.1,1,10,6
90,0.1,0.31,0.5,39,25,20,36,35,25,78,92,93,85,-105,95,23,0.1,0,10,6
91,0.1,0.31,0.5,39,31,32,28,33,23,81,92,93,88,92,95,20,0.1,1,10,6
92,0.1,0.31,0.5,38,34,33,41,24,44,81,92,93,88,91,-110,20,0.1,0,10,6
93,0.1,0.31,0.5,38,25,19,36,37,39,81,91,93,86,89,95,20,0.1,1,10,6
94,0.1,0.31,0.5,38,32,33,31,43,11,80,92,92,87,82,95,21,0.1,1,10,6
95,0.1,0.31,0.5,38,34,35,41,25,30,77,92,93,87,92,95,24,0.1,1,10,6
96,0.1,0.31,0.5,38,26,19,34,34,29,81,91,93,88,92,95,20,0.1,1,10,6
