eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
121,0.1,0.31,0.5,19,21,22,91,92,93,10,0.1,1,10,3
122,0.1,0.31,0.5,14,13,18,91,92,93,10,0.1,1,10,3
123,0.1,0.31,0.5,21,20,15,91,92,91,10,0.1,1,10,3
124,0.1,0.31,0.5,19,21,22,91,92,91,10,0.1,1,10,3
125,0.1,0.31,0.5,15,17,22,91,89,-107,12,0.1,0,10,3
126,0.1,0.31,0.5,20,19,17,91,91,93,10,0.1,1,10,3
127,0.1,0.31,0.5,17,20,14,91,92,93,10,0.1,1,10,3
128,0.1,0.31,0.5,18,16,21,90,92,93,11,0.1,1,10,3
129,0.1,0.31,0.5,21,20,18,91,92,93,10,0.1,1,10,3
130,0.1,0.31,0.5,16,19,16,91,92,89,12,0.1,1,10,3
131,0.1,0.31,0.5,17,23,20,91,-110,93,11,0.1,0,10,3
132,0.1,0.31,0.5,22,16,18,91,92,93,10,0.1,1,10,3
133,0.1,0.31,0.5,17,17,16,91,92,93,10,0.1,1,10,3
134,0.1,0.31,0.5,17,23,19,90,-108,93,11,0.1,0,10,3
135,0.1,0.31,0.5,21,23,18,91,91,93,10,0.1,1,10,3
136,0.1,0.31,0.5,18,10,15,89,92,93,12,0.1,1,10,3
137,0.1,0.31,0.5,16,22,20,91,-121,93,22,0.1,0,10,3
138,0.1,0.31,0.5,21,23,18,90,91,93,11,0.1,1,10,3
139,0.1,0.31,0.5,16,11,14,91,92,92,10,0.1,1,10,3
140,0.1,0.31,0.5,19,22,23,91,92,92,10,0.1,1,10,3
141,0.1,0.31,0.5,21,23,18,91,92,93,10,0.1,1,10,3
142,0.1,0.31,0.5,16,11,13,90,92,93,11,0.1,1,10,3
143,0.1,0.31,0.5,18,22,21,91,92,93,10,0.1,1,10,3
144,0.1,0.31,0.5,21,23,19,90,92,91,11,0.1,1,10,3
145,0.1,0.31,0.5,17,11,14,89,92,93,12,0.1,1,10,3
146,0.1,0.31,0.5,18,22,20,87,92,93,14,0.1,1,10,3
147,0.1,0.31,0.5,20,23,23,91,92,91,10,0.1,1,10,3
148,0.1,0.31,0.5,17,11,15,91,92,93,10,0.1,1,10,3
